school_code,cca,cca_category
3002,"Volleyball (Girls)",Sports
3002,"National Police Cadet Corps (NPCC) (Boys)","Uniform Group"
3002,"Red Cross Youth (Girls and Boys)","Uniform Group"
3002,"National Cadet Corps (NCC) (Air) (Girls and Boys)","Uniform Group"
3002,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
3002,"Choir (Girls and Boys)",Arts
3002,"Guzheng Ensemble (Girls and Boys)",Arts
3002,"Modern Dance (Girls and Boys)",Arts
3002,"Concert Band (Girls and Boys)",Arts
3002,"Design and Innovation (Girls and Boys)","Clubs and Societies"
3002,"Entrepreneurship (Girls and Boys)","Clubs and Societies"
3002,"Infocomm Technology (Media Production) (Girls and Boys)","Clubs and Societies"
3002,"Community Service (Girls and Boys)","Clubs and Societies"
3002,"Student Leadership (Council) (Girls and Boys)","Clubs and Societies"
3003,"Badminton (Girls and Boys)",Sports
3003,"Canoeing (Girls and Boys)",Sports
3003,"Football (Boys)",Sports
3003,"Wushu (Girls and Boys)",Sports
3003,"Volleyball (Girls)",Sports
3003,"Boys' Brigade (Boys)","Uniform Group"
3003,"Girl Guides (Girls)","Uniform Group"
3003,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3003,"Scouts (Boys)","Uniform Group"
3003,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
3003,"National Civil Defence Cadet Corps (NCDCC) (Girls and Boys)","Uniform Group"
3003,"Chinese Orchestra (Girls and Boys)","Clubs and Societies"
3003,"Choir (Girls and Boys)",Arts
3003,"Modern Dance (Girls and Boys)",Arts
3003,"Malay Dance (Girls and Boys)",Arts
3003,"English Drama (Boys)",Arts
3003,"Concert Band (Girls and Boys)",Arts
3003,"Infocomm Technology (Media Production) (Girls and Boys)","Clubs and Societies"
3069,"Badminton (Girls and Boys)",Sports
3069,"Basketball (Girls and Boys)",Sports
3069,"Football (Boys)",Sports
3069,"Softball (Girls and Boys)",Sports
3069,"Wushu (Girls and Boys)",Sports
3069,"Tchoukball (Girls and Boys)",Sports
3069,"Outdoor Adventure (Girls and Boys)",Sports
3069,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3069,"St John Brigade (Girls and Boys)","Uniform Group"
3069,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
3069,"Choir (Girls and Boys)",Arts
3069,"Modern Dance (Girls and Boys)",Arts
3069,"English Drama (Girls and Boys)",Arts
3069,"Concert Band (Girls and Boys)",Arts
3069,"Art and Crafts (Girls and Boys)",Arts
3069,"Audio Visual Aid (Girls and Boys)",Arts
3069,"Singapore Youth Flying Club (Girls and Boys)","Clubs and Societies"
3069,"Environmental Science (Girls and Boys)","Clubs and Societies"
3027,"Badminton (Girls and Boys)",Sports
3027,"Basketball (Boys)",Sports
3027,"Netball (Girls)",Sports
3027,"Football (Boys)",Sports
3027,"Swimming (Girls and Boys)",Sports
3027,"Floorball (Girls and Boys)",Sports
3027,"Girl Guides (Girls)","Uniform Group"
3027,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3027,"Scouts (Boys)","Uniform Group"
3027,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
3027,"National Civil Defence Cadet Corps (NCDCC) (Girls and Boys)","Uniform Group"
3027,"Chinese Orchestra (Girls and Boys)","Clubs and Societies"
3027,"Choir (Girls and Boys)",Arts
3027,"Chinese Dance (Girls and Boys)","Clubs and Societies"
3027,"Malay Dance (Girls and Boys)",Arts
3027,"Concert Band (Girls and Boys)",Arts
3027,"Audio Visual Aid (Girls and Boys)",Arts
3027,"Environmental Science (Girls and Boys)","Clubs and Societies"
3027,"Infocomm Technology (Media Production) (Girls and Boys)","Clubs and Societies"
3225,"Badminton (Boys)",Sports
3225,"Basketball (Girls and Boys)",Sports
3225,"Netball (Girls)",Sports
3225,"Football (Boys)",Sports
3225,"Track and Field (Girls and Boys)",Sports
3225,"Girl Guides (Girls)","Uniform Group"
3225,"National Police Cadet Corps (NPCC) (Boys)","Uniform Group"
3225,"National Cadet Corps (NCC) (Land) (Girls and Boys)","Uniform Group"
3225,"Choir (Girls and Boys)",Arts
3225,"Guzheng Ensemble (Girls and Boys)",Arts
3225,"Modern Dance (Girls and Boys)",Arts
3225,"English Drama (Girls and Boys)",Arts
3225,"Concert Band (Girls and Boys)",Arts
3225,"Infocomm Technology (Media Production) (Girls and Boys)","Clubs and Societies"
3225,"Community Service (Girls and Boys)","Clubs and Societies"
3021,"Badminton (Girls and Boys)",Sports
3021,"Cross Country (Girls and Boys)",Sports
3021,"Sepaktakraw (Boys)",Sports
3021,"Football (Boys)",Sports
3021,"Taekwondo (Girls and Boys)",Sports
3021,"Tchoukball (Girls and Boys)",Sports
3021,"Girl Guides (Girls)","Uniform Group"
3021,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3021,"Red Cross Youth (Girls and Boys)","Uniform Group"
3021,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
3021,"Choir (Girls and Boys)",Arts
3021,"Modern Dance (Girls and Boys)",Arts
3021,"English Drama (Girls and Boys)",Arts
3021,"Tamil Drama (Girls and Boys)",Arts
3021,"Concert Band (Girls and Boys)",Arts
3021,"Infocomm Technology (Media Production) (Girls and Boys)","Clubs and Societies"
3224,"Badminton (Boys)",Sports
3224,"Basketball (Boys)",Sports
3224,"Netball (Girls)",Sports
3224,"Boys' Brigade (Boys)","Uniform Group"
3224,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3224,"St John Brigade (Girls and Boys)","Uniform Group"
3224,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
3224,"National Civil Defence Cadet Corps (NCDCC) (Girls and Boys)","Uniform Group"
3224,"Chinese Orchestra (Girls and Boys)","Clubs and Societies"
3224,"Choir (Girls and Boys)",Arts
3224,"Modern Dance (Girls and Boys)",Arts
3224,"Malay Dance (Girls and Boys)",Arts
3224,"English Drama (Girls and Boys)",Arts
3224,"Concert Band (Girls and Boys)",Arts
3224,"Audio Visual Aid (Girls and Boys)",Arts
3224,"Infocomm Technology (Computing) (Girls and Boys)","Clubs and Societies"
3043,"Badminton (Girls and Boys)",Sports
3043,"Basketball (Boys)",Sports
3043,"Netball (Girls)",Sports
3043,"Football (Girls and Boys)",Sports
3043,"Table Tennis (Boys)",Sports
3043,"Taekwondo (Girls and Boys)",Sports
3043,"Boys' Brigade (Boys)","Uniform Group"
3043,"Girl Guides (Girls)","Uniform Group"
3043,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3043,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
3043,"National Civil Defence Cadet Corps (NCDCC) (Girls and Boys)","Uniform Group"
3043,"Choir (Girls and Boys)",Arts
3043,"Band - Military (Girls and Boys)",Arts
3043,"Modern Dance (Girls and Boys)",Arts
3043,"Indian Dance (Girls and Boys)",Arts
3043,"Malay Dance (Girls and Boys)",Arts
3043,"English Drama (Girls and Boys)",Arts
3043,"Art and Crafts (Girls and Boys)",Arts
3043,"Media Resource Library (Girls and Boys)","Clubs and Societies"
3043,"Infocomm Technology (Media Production) (Girls and Boys)","Clubs and Societies"
3202,"Shooting (Girls and Boys)",Sports
3202,"Basketball (Boys)",Sports
3202,"Taekwondo (Girls and Boys)",Sports
3202,"Tchoukball (Girls)",Sports
3202,"Girl Guides (Girls)","Uniform Group"
3202,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3202,"Red Cross Youth (Girls and Boys)","Uniform Group"
3202,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
3202,"Choir (Girls and Boys)",Arts
3202,"Modern Dance (Girls and Boys)",Arts
3202,"English Drama (Girls and Boys)",Arts
3202,"Concert Band (Girls and Boys)",Arts
3202,"Robotics (Girls and Boys)","Clubs and Societies"
3044,"Shooting (Girls and Boys)",Sports
3044,"Badminton (Girls and Boys)",Sports
3044,"Basketball (Boys)",Sports
3044,"Cross Country (Girls and Boys)",Sports
3044,"Rugby (Boys)",Sports
3044,"Softball (Girls)",Sports
3044,"Boys' Brigade (Boys)","Uniform Group"
3044,"Girls' Brigade (Girls)","Uniform Group"
3044,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3044,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
3044,"National Cadet Corps (NCC) (Sea) (Girls and Boys)","Uniform Group"
3044,"Chinese Orchestra (Girls and Boys)","Clubs and Societies"
3044,"Choir (Girls and Boys)",Arts
3044,"Modern Dance (Girls and Boys)",Arts
3044,"Malay Dance (Girls and Boys)",Arts
3044,"Concert Band (Girls and Boys)",Arts
3044,"English Language, Drama and Debating (Girls and Boys)",Arts
3044,"Robotics (Girls and Boys)","Clubs and Societies"
3044,"Infocomm Technology (Media Production) (Girls and Boys)","Clubs and Societies"
3203,"Basketball (Girls and Boys)",Sports
3203,"Floorball (Girls and Boys)",Sports
3203,"Tchoukball (Girls and Boys)",Sports
3203,"St John Brigade (Girls and Boys)","Uniform Group"
3203,"Scouts (Girls and Boys)","Uniform Group"
3203,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
3203,"Modern Dance (Girls)",Arts
3203,"English Drama (Girls and Boys)",Arts
3203,"Concert Band (Girls and Boys)",Arts
3203,"Robotics (Girls and Boys)","Clubs and Societies"
3203,"Entrepreneurship (Girls and Boys)","Clubs and Societies"
3203,"Infocomm Technology (Media Production) (Girls and Boys)","Clubs and Societies"
3204,"Basketball (Boys)",Sports
3204,"Fencing (Girls and Boys)",Sports
3204,"Netball (Girls)",Sports
3204,"Volleyball (Girls and Boys)",Sports
3204,"Floorball (Boys)",Sports
3204,"Girl Guides (Girls)","Uniform Group"
3204,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3204,"St John Brigade (Girls and Boys)","Uniform Group"
3204,"Scouts (Boys)","Uniform Group"
3204,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
3204,"Chinese Orchestra (Girls and Boys)","Clubs and Societies"
3204,"Choir (Girls and Boys)",Arts
3204,"Modern Dance (Girls)",Arts
3204,"Chinese Drama (Girls and Boys)","Clubs and Societies"
3204,"English Drama (Girls and Boys)",Arts
3204,"Concert Band (Girls and Boys)",Arts
3204,"Audio Visual Aid (Girls and Boys)",Arts
3204,"Malay Culture and Language (Girls and Boys)",Arts
3204,"Infocomm Technology (Media Production) (Girls and Boys)","Clubs and Societies"
3204,"Community Service (Girls and Boys)","Clubs and Societies"
3204,"Physical Science (Girls and Boys)","Clubs and Societies"
3040,"Badminton (Girls)",Sports
3040,"Hockey (Boys)",Sports
3040,"Track and Field (Girls and Boys)",Sports
3040,"Table Tennis (Girls and Boys)",Sports
3040,"Volleyball (Girls)",Sports
3040,"Floorball (Girls)",Sports
3040,"Boys' Brigade (Boys)","Uniform Group"
3040,"Girls' Brigade (Girls)","Uniform Group"
3040,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3040,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
3040,"Choir (Girls and Boys)",Arts
3040,"Modern Dance (Girls and Boys)",Arts
3040,"English Drama (Girls and Boys)",Arts
3040,"Concert Band (Girls and Boys)",Arts
3040,"Singapore Youth Flying Club (Girls and Boys)","Clubs and Societies"
3040,"Infocomm Technology (Computing) (Girls and Boys)","Clubs and Societies"
3040,"Digital Media (Girls and Boys)","Clubs and Societies"
3040,"Environmental Science (Girls and Boys)","Clubs and Societies"
3621,"Shooting (Girls and Boys)",Sports
3621,"Badminton (Girls and Boys)",Sports
3621,"Netball (Girls)",Sports
3621,"Taekwondo (Girls and Boys)",Sports
3621,"Volleyball (Girls and Boys)",Sports
3621,"Boys' Brigade (Boys)","Uniform Group"
3621,"Girls' Brigade (Girls)","Uniform Group"
3621,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3621,"National Cadet Corps (NCC) (Air) (Girls and Boys)","Uniform Group"
3621,"National Cadet Corps (NCC) (Sea) (Girls and Boys)","Uniform Group"
3621,"National Civil Defence Cadet Corps (NCDCC) (Girls and Boys)","Uniform Group"
3621,"Choir (Girls and Boys)",Arts
3621,"Guzheng Ensemble (Girls and Boys)",Arts
3621,"Modern Dance (Girls and Boys)",Arts
3621,"Concert Band (Girls and Boys)",Arts
3621,"Digital Media (Girls and Boys)","Clubs and Societies"
7102,"Basketball (Boys)",Sports
7102,"Softball (Boys)",Sports
7102,"Track and Field (Boys)",Sports
7102,"Table Tennis (Boys)",Sports
7102,"Wushu (Boys)",Sports
7102,"Volleyball (Boys)",Sports
7102,"Floorball (Boys)",Sports
7102,"National Police Cadet Corps (NPCC) (Boys)","Uniform Group"
7102,"St John Brigade (Boys)","Uniform Group"
7102,"Scouts (Boys)","Uniform Group"
7102,"National Cadet Corps (NCC) (Air) (Boys)","Uniform Group"
7102,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
7102,"Chinese Orchestra (Boys)","Clubs and Societies"
7102,"Choir (Boys)",Arts
7102,"Modern Dance (Boys)",Arts
7102,"Chinese Drama (Boys)","Clubs and Societies"
7102,"English Drama (Boys)",Arts
7102,"Concert Band (Boys)",Arts
7102,"Infocomm Technology (Computing) (Boys)","Clubs and Societies"
3004,"Badminton (Girls)",Sports
3004,"Basketball (Girls)",Sports
3004,"Netball (Girls)",Sports
3004,"Track and Field (Girls)",Sports
3004,"Table Tennis (Girls)",Sports
3004,"Volleyball (Girls)",Sports
3004,"Girl Guides (Girls)","Uniform Group"
3004,"National Police Cadet Corps (NPCC) (Girls)","Uniform Group"
3004,"Red Cross Youth (Girls)","Uniform Group"
3004,"National Cadet Corps (NCC) (Land) (Girls)","Uniform Group"
3004,"Choir (Girls)",Arts
3004,"Guzheng Ensemble (Girls)",Arts
